axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
67.25,3.75,"2000-01-15T00:00:00",10.0,2.375547409057617,0.1382802128791809,11.614041328430176
67.25,3.75,"2000-02-15T00:00:00",10.0,2.727536201477051,-0.4248969256877899,11.92605972290039
67.25,3.75,"2000-03-16T00:00:00",10.0,2.140012502670288,0.15406067669391632,10.655975341796875
67.25,3.75,"2000-04-15T00:00:00",10.0,0.28068849444389343,-1.7347296476364136,8.964353561401367
67.25,3.75,"2000-05-15T00:00:00",10.0,0.45971670746803284,-0.8291393518447876,7.781045436859131
67.25,3.75,"2000-06-15T00:00:00",10.0,0.15496259927749634,-1.477505087852478,6.802284240722656
67.25,3.75,"2000-07-15T00:00:00",10.0,0.3803994059562683,0.024760402739048004,6.335922718048096
67.25,3.75,"2000-08-15T00:00:00",10.0,1.149307370185852,0.7427024841308594,6.887807846069336
67.25,3.75,"2000-09-15T00:00:00",10.0,1.3412076234817505,0.45840904116630554,8.556499481201172
67.25,3.75,"2000-10-15T00:00:00",10.0,-0.037398695945739746,0.7232396006584167,9.418094635009766
67.25,3.75,"2000-11-15T00:00:00",10.0,1.0169272422790527,0.1259433627128601,10.460731506347656
67.25,3.75,"2000-12-15T00:00:00",10.0,2.427166223526001,-0.7394338250160217,11.306256294250488
