axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
23.25,-52.250000000000014,"2000-01-15T00:00:00",10.0,-4.948155879974365,-0.9869288802146912,7.359816074371338
23.25,-52.250000000000014,"2000-02-15T00:00:00",10.0,-4.150574207305908,-0.3900242745876312,7.497073173522949
23.25,-52.250000000000014,"2000-03-16T00:00:00",10.0,-3.440251350402832,-0.7554690837860107,6.748131275177002
23.25,-52.250000000000014,"2000-04-15T00:00:00",10.0,-4.20389461517334,-0.1438819169998169,6.65821647644043
23.25,-52.250000000000014,"2000-05-15T00:00:00",10.0,-4.287459373474121,0.5620245337486267,6.099236965179443
23.25,-52.250000000000014,"2000-06-15T00:00:00",10.0,-5.00335693359375,0.4020983874797821,5.8433918952941895
23.25,-52.250000000000014,"2000-07-15T00:00:00",10.0,-6.970959186553955,-0.6381051540374756,7.316244602203369
23.25,-52.250000000000014,"2000-08-15T00:00:00",10.0,-6.386985778808594,-0.5379911661148071,6.986386299133301
23.25,-52.250000000000014,"2000-09-15T00:00:00",10.0,-4.899796009063721,0.6347658634185791,6.402404308319092
23.25,-52.250000000000014,"2000-10-15T00:00:00",10.0,-4.299935817718506,0.4343690872192383,6.322918891906738
23.25,-52.250000000000014,"2000-11-15T00:00:00",10.0,-3.4351282119750977,-0.6218109130859375,6.633394241333008
23.25,-52.250000000000014,"2000-12-15T00:00:00",10.0,-3.856048583984375,-1.593413233757019,7.160520553588867
